Date,Lat,Lon
2019-02-07 17:55:45+00:00,51.01918,16.893505
2019-02-07 17:55:46+00:00,51.019329,16.893797
2019-02-07 17:55:53+00:00,51.019226,16.893736
2019-02-07 17:56:04+00:00,51.019135,16.893692
2019-02-07 17:57:00+00:00,51.01907,16.893585
2019-02-07 17:57:02+00:00,51.018894,16.893423
2019-02-07 17:57:11+00:00,51.018818,16.893316
2019-02-07 18:21:13+00:00,51.018887,16.893436
2019-02-07 19:00:58+00:00,51.018829,16.893312
2019-02-07 19:01:02+00:00,51.018814,16.89311
2019-02-07 19:01:07+00:00,51.018867,16.892975
2019-02-07 19:01:18+00:00,51.018879,16.892788
2019-02-07 19:01:23+00:00,51.018974,16.892532
2019-02-07 19:01:46+00:00,51.01902,16.89308
2019-02-07 19:01:47+00:00,51.019066,16.893291
2019-02-07 19:01:50+00:00,51.019268,16.893581
2019-02-07 19:02:04+00:00,51.018486,16.893293
2019-02-07 19:02:08+00:00,51.018383,16.893349
2019-02-07 19:02:09+00:00,51.018375,16.893528
2019-02-07 19:02:14+00:00,51.018486,16.893673
2019-02-07 19:02:15+00:00,51.018391,16.893721
2019-02-07 19:02:20+00:00,51.01862,16.893272
2019-02-07 19:02:22+00:00,51.018707,16.893225
2019-02-07 19:02:25+00:00,51.018803,16.893261
2019-02-07 19:02:34+00:00,51.018604,16.893391
2019-02-07 19:02:38+00:00,51.018814,16.893337
2019-02-07 19:02:40+00:00,51.019062,16.893255
2019-02-07 19:02:49+00:00,51.019176,16.893127
2019-02-07 19:02:58+00:00,51.0191,16.893009
2019-02-07 19:03:02+00:00,51.018909,16.893175
2019-02-07 19:03:08+00:00,51.018772,16.893105
2019-02-07 19:03:12+00:00,51.018459,16.892979
2019-02-07 19:03:14+00:00,51.018387,16.892828
2019-02-07 19:03:17+00:00,51.018284,16.892969
2019-02-07 19:03:19+00:00,51.018227,16.893095
2019-02-07 19:03:21+00:00,51.018326,16.893196
2019-02-07 19:03:25+00:00,51.018448,16.893116
2019-02-07 19:03:29+00:00,51.018574,16.893196
2019-02-07 19:03:36+00:00,51.018456,16.893148
2019-02-07 19:03:42+00:00,51.018345,16.893148
2019-02-07 19:03:48+00:00,51.018406,16.893003
2019-02-07 19:03:52+00:00,51.01857,16.892996
2019-02-07 19:03:55+00:00,51.018761,16.893393
2019-02-07 19:04:00+00:00,51.018871,16.893379
2019-02-07 19:04:02+00:00,51.018997,16.893406
2019-02-07 19:04:04+00:00,51.019096,16.893225
2019-02-07 19:04:09+00:00,51.019405,16.893015
2019-02-07 19:04:11+00:00,51.019478,16.892895
2019-02-07 19:04:14+00:00,51.019566,16.892971
2019-02-07 19:04:18+00:00,51.01947,16.893015
2019-02-07 19:04:21+00:00,51.019581,16.893209
2019-02-07 19:04:27+00:00,51.019711,16.892969
2019-02-07 19:04:35+00:00,51.019611,16.893053
